
-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=
USA

Grafo carregado: 585 espécies, 13895 interações
Espécies basais (grau de entrada=0): 313
Robustez Inicial: 1.0000
211. Mytilus Edulis                                     ->   1 extinções | Robustez Final: 0.9983
212. Noetia Ponderosa                                   ->   1 extinções | Robustez Final: 0.9983
213. Nucula Proxima                                     ->   1 extinções | Robustez Final: 0.9983
214. Pandora Gouldiana                                  ->   1 extinções | Robustez Final: 0.9983
215. Petricola Pholadiformis                            ->   1 extinções | Robustez Final: 0.9983
216. Solemya Velum                                      ->   1 extinções | Robustez Final: 0.9983
217. Spisula Solidissima                                ->   1 extinções | Robustez Final: 0.9983
218. Tagelus Plebius                                    ->   1 extinções | Robustez Final: 0.9983
219. Tellina Agilis                                     ->   1 extinções | Robustez Final: 0.9983
220. Chaetopterus Variopedatus                          ->   1 extinções | Robustez Final: 0.9983
221. Clymenella Torquata                                ->   1 extinções | Robustez Final: 0.9983
222. Eteone Lactea                                      ->   1 extinções | Robustez Final: 0.9983
223. Eteone Heteropoda                                  ->   1 extinções | Robustez Final: 0.9983
224. Eumida Sanguinea                                   ->   1 extinções | Robustez Final: 0.9983
225. Glycera Dibranchiata                               ->   1 extinções | Robustez Final: 0.9983
226. Glycinde Solitaria                                 ->   1 extinções | Robustez Final: 0.9983
227. Haploscoloplos Fragilis                            ->   1 extinções | Robustez Final: 0.9983
228. Heteromastus Filiformis                            ->   1 extinções | Robustez Final: 0.9983
229. Laeonereis Culveri                                 ->   1 extinções | Robustez Final: 0.9983
230. Loimia Medusa                                      ->   1 extinções | Robustez Final: 0.9983
231. Lumbrineris Fragilis                               ->   1 extinções | Robustez Final: 0.9983
232. Marenzelleria Viridis                              ->   1 extinções | Robustez Final: 0.9983
233. Nephtys Incisa                                     ->   1 extinções | Robustez Final: 0.9983
234. Nereis Succinea                                    ->   1 extinções | Robustez Final: 0.9983
235. Paranaitis Speciosa                                ->   1 extinções | Robustez Final: 0.9983
236. Paraprionospio Pinnata                             ->   1 extinções | Robustez Final: 0.9983
237. Pectinaria Gouldii                                 ->   1 extinções | Robustez Final: 0.9983
238. Pherusa Affinis                                    ->   1 extinções | Robustez Final: 0.9983
239. Phyllodoce Fragilis                                ->   1 extinções | Robustez Final: 0.9983
240. Polydora Aggregata                                 ->   1 extinções | Robustez Final: 0.9983
241. Polydora Ligni                                     ->   1 extinções | Robustez Final: 0.9983
242. Polydora Cornuta                                   ->   1 extinções | Robustez Final: 0.9983
243. Praxillella Praetermissa                           ->   1 extinções | Robustez Final: 0.9983
244. Pseudoeurythoe Paucibranchiata                     ->   1 extinções | Robustez Final: 0.9983
245. Sabaco Elongatus                                   ->   1 extinções | Robustez Final: 0.9983
246. Sabellaria Vulgaris                                ->   1 extinções | Robustez Final: 0.9983
247. Scolecolepides Viridis                             ->   1 extinções | Robustez Final: 0.9983
248. Scolelepis Squamata                                ->   1 extinções | Robustez Final: 0.9983
249. Scoloplos Robustus                                 ->   1 extinções | Robustez Final: 0.9983
250. Sigambra Tentaculata                               ->   1 extinções | Robustez Final: 0.9983
251. Spio Setosa                                        ->   1 extinções | Robustez Final: 0.9983
252. Spiochaetopterus Oculatus                          ->   1 extinções | Robustez Final: 0.9983
253. Spiophanes Bombyx                                  ->   1 extinções | Robustez Final: 0.9983
254. Streblospio Benedicti                              ->   1 extinções | Robustez Final: 0.9983
255. Cancer Irroratus                                   ->   1 extinções | Robustez Final: 0.9983
256. Pagurus Annulipes                                  ->   1 extinções | Robustez Final: 0.9983
257. Panopeus Herbsti                                   ->   1 extinções | Robustez Final: 0.9983
258. Pagurus Pollicaris                                 ->   1 extinções | Robustez Final: 0.9983
259. Upogebia Affinis                                   ->   1 extinções | Robustez Final: 0.9983
260. Palaemonetes Pugio                                 ->   1 extinções | Robustez Final: 0.9983
261. Palaemonetes Intermedius                           ->   1 extinções | Robustez Final: 0.9983
262. Palaemonetes Vulgaris                              ->   1 extinções | Robustez Final: 0.9983
263. Ovalipes Ocellatus                                 ->   1 extinções | Robustez Final: 0.9983
264. Callinectes Similis                                ->   1 extinções | Robustez Final: 0.9983
265. Pagurus Longicarpus                                ->   1 extinções | Robustez Final: 0.9983
266. Squilla Empusa                                     ->   1 extinções | Robustez Final: 0.9983
267. Sesarma Reticulatum                                ->   1 extinções | Robustez Final: 0.9983
268. Uca Pugnax                                         ->   1 extinções | Robustez Final: 0.9983
269. Uca Minax                                          ->   1 extinções | Robustez Final: 0.9983
270. Uca Pugilator                                      ->   1 extinções | Robustez Final: 0.9983
271. Crangon Septemspinosa                              ->   1 extinções | Robustez Final: 0.9983
272. Callinectes Sapidus                                ->   1 extinções | Robustez Final: 0.9983
273. Rhithropanopeus Harrisii                           ->   1 extinções | Robustez Final: 0.9983
274. Ampelisca Verrilli                                 ->   1 extinções | Robustez Final: 0.9983
275. Ampelisca Vadorum                                  ->   1 extinções | Robustez Final: 0.9983
276. Ampithoe Longimana                                 ->   1 extinções | Robustez Final: 0.9983
277. Batea Catharinensis                                ->   1 extinções | Robustez Final: 0.9983
278. Caprella Penantis                                  ->   1 extinções | Robustez Final: 0.9983
279. Cerapus Tubularis                                  ->   1 extinções | Robustez Final: 0.9983
280. Corophium Tuberculatum                             ->   1 extinções | Robustez Final: 0.9983
281. Cymadusa Compta                                    ->   1 extinções | Robustez Final: 0.9983
282. Elasmopus Levis                                    ->   1 extinções | Robustez Final: 0.9983
283. Gammarus Mucronatus                                ->   1 extinções | Robustez Final: 0.9983
284. Jassa Falcata                                      ->   1 extinções | Robustez Final: 0.9983
285. Melita Appendiculata                               ->   1 extinções | Robustez Final: 0.9983
286. Rudilemboides Naglei                               ->   1 extinções | Robustez Final: 0.9983
287. Stenothoe Minuta                                   ->   1 extinções | Robustez Final: 0.9983
288. Pleusymtes Glaber                                  ->   1 extinções | Robustez Final: 0.9983
289. Mysidopsis Bigelowi                                ->   1 extinções | Robustez Final: 0.9983
290. Apocorophium Lacustre                              ->   1 extinções | Robustez Final: 0.9983
291. Monocorophium Insidiosum                           ->   1 extinções | Robustez Final: 0.9983
292. Gammarus Fasciatus                                 ->   1 extinções | Robustez Final: 0.9983
293. Gammarus Daiberi                                   ->   1 extinções | Robustez Final: 0.9983
294. Gammarus Tigrinus                                  ->   1 extinções | Robustez Final: 0.9983
295. Hyalella Azteca                                    ->   1 extinções | Robustez Final: 0.9983
296. Lembos Smithi                                      ->   1 extinções | Robustez Final: 0.9983
297. Lepidactylus Dytiscus                              ->   1 extinções | Robustez Final: 0.9983
298. Leptocheirus Plumulosus                            ->   1 extinções | Robustez Final: 0.9983
299. Marinogammarus Stoerensis                          ->   1 extinções | Robustez Final: 0.9983
300. Melita Nitida                                      ->   1 extinções | Robustez Final: 0.9983
301. Microprotopus Raneyi                               ->   1 extinções | Robustez Final: 0.9983
302. Monoculodes Edwardsi                               ->   1 extinções | Robustez Final: 0.9983
303. Paracaprella Tenuis                                ->   1 extinções | Robustez Final: 0.9983
304. Photis Reinhardi                                   ->   1 extinções | Robustez Final: 0.9983
305. Podoceropsis Nitida                                ->   1 extinções | Robustez Final: 0.9983
306. Siphonoecetes Smithianus                           ->   1 extinções | Robustez Final: 0.9983
307. Unciola Irrorata                                   ->   1 extinções | Robustez Final: 0.9983
308. Acetes Americanus                                  ->   1 extinções | Robustez Final: 0.9983
309. Alpheus Heterochaelis                              ->   1 extinções | Robustez Final: 0.9983
310. Alpheus Normanni                                   ->   1 extinções | Robustez Final: 0.9983
311. Arenaeus Cribrarius                                ->   1 extinções | Robustez Final: 0.9983
312. Emerita Talpoida                                   ->   1 extinções | Robustez Final: 0.9983
313. Euceramus Praelongus                               ->   1 extinções | Robustez Final: 0.9983
314. Eurypanopeus Depressus                             ->   1 extinções | Robustez Final: 0.9983
315. Hexapanopeus Angustifrons                          ->   1 extinções | Robustez Final: 0.9983
316. Hippolyte Pleuracantha                             ->   1 extinções | Robustez Final: 0.9983
317. Lepidopa Websteri                                  ->   1 extinções | Robustez Final: 0.9983
318. Libinia Emarginata                                 ->   1 extinções | Robustez Final: 0.9983
319. Lucifer Faxoni                                     ->   1 extinções | Robustez Final: 0.9983
320. Lysmata Wurdemanni                                 ->   1 extinções | Robustez Final: 0.9983
321. Macrobrachium Ohione                               ->   1 extinções | Robustez Final: 0.9983
322. Naushonia Crangonoides                             ->   1 extinções | Robustez Final: 0.9983
323. Dyspanopeus Sayi                                   ->   1 extinções | Robustez Final: 0.9983
324. Dyspanopeus Texanus                                ->   1 extinções | Robustez Final: 0.9983
325. Ogyrides Limicola                                  ->   1 extinções | Robustez Final: 0.9983
326. Penaeus Aztecus                                    ->   1 extinções | Robustez Final: 0.9983
327. Pinnixa Chaetopterana                              ->   1 extinções | Robustez Final: 0.9983
328. Pinnotheres Maculatus                              ->   1 extinções | Robustez Final: 0.9983
329. Polyonyx Gibbesi                                   ->   1 extinções | Robustez Final: 0.9983
330. Portunus Gibbesii                                  ->   1 extinções | Robustez Final: 0.9983
331. Rhithropanopeus Hermandii                          ->   1 extinções | Robustez Final: 0.9983
332. Bowmaniella Dissimilis                             ->   1 extinções | Robustez Final: 0.9983
333. Heteromysis Formosa                                ->   1 extinções | Robustez Final: 0.9983
334. Neomysis Americana                                 ->   1 extinções | Robustez Final: 0.9983
335. Arctica Islandica                                  ->   1 extinções | Robustez Final: 0.9983
336. Yoldia Limatula                                    ->   1 extinções | Robustez Final: 0.9983
337. Pitar Morrhuanus                                   ->   1 extinções | Robustez Final: 0.9983
338. Cerastoderma Pinnulatum                            ->   1 extinções | Robustez Final: 0.9983
339. Centropages Hamatus                                ->   1 extinções | Robustez Final: 0.9983
340. Centropages Furcatus                               ->   1 extinções | Robustez Final: 0.9983
341. Eucalanus Pileatus                                 ->   1 extinções | Robustez Final: 0.9983
342. Eurytemora Affinis                                 ->   1 extinções | Robustez Final: 0.9983
343. Eurytemora Americana                               ->   1 extinções | Robustez Final: 0.9983
344. Labidocera Aestiva                                 ->   1 extinções | Robustez Final: 0.9983
345. Labidocera Wollastoni                              ->   1 extinções | Robustez Final: 0.9983
346. Paracalanus Crassirostris                          ->   1 extinções | Robustez Final: 0.9983
347. Paracalanus Indicus                                ->   1 extinções | Robustez Final: 0.9983
348. Pontella Meadi                                     ->   1 extinções | Robustez Final: 0.9983
349. Pontella Pennata                                   ->   1 extinções | Robustez Final: 0.9983
350. Pseudodiaptomus Coronatus                          ->   1 extinções | Robustez Final: 0.9983
351. Rhincalanus Nasutus                                ->   1 extinções | Robustez Final: 0.9983
352. Temora Longicornis                                 ->   1 extinções | Robustez Final: 0.9983
353. Temora Turbinata                                   ->   1 extinções | Robustez Final: 0.9983
354. Temora Stylifera                                   ->   1 extinções | Robustez Final: 0.9983
355. Acanthocyclops Vernalis                            ->   1 extinções | Robustez Final: 0.9983
356. Halicyclops Magniceps                              ->   1 extinções | Robustez Final: 0.9983
357. Paracyclops Fibriatus                              ->   1 extinções | Robustez Final: 0.9983
358. Alteutha Depressa                                  ->   1 extinções | Robustez Final: 0.9983
359. Ectinosoma Compressum                              ->   1 extinções | Robustez Final: 0.9983
360. Euterpina Acutifrons                               ->   1 extinções | Robustez Final: 0.9983
361. Harpacticus Gracilis                               ->   1 extinções | Robustez Final: 0.9983
362. Harpacticus Chelifer                               ->   1 extinções | Robustez Final: 0.9983
363. Scottolana Canadensis                              ->   1 extinções | Robustez Final: 0.9983
364. Tisbe Furcata                                      ->   1 extinções | Robustez Final: 0.9983
