Espécie,Extinções Totais,Extinções Secundárias,Grau Entrada,Grau Saída,Grau Total,Betweenness,Closeness,PageRank
Anadara Ovalis,1,0,0,29,29,0.0,0.4232,0.0005
Anadara Transversa,1,0,0,29,29,0.0,0.4235,0.0005
Anomia Simplex,1,0,0,31,31,0.0,0.425,0.0005
Bankia Gouldi,1,0,0,29,29,0.0,0.4235,0.0005
Brachidontes Recurvus,1,0,0,29,29,0.0,0.4235,0.0005
Crassostrea Virginica,1,0,0,30,30,0.0,0.4244,0.0005
Crassostrea Ariakensis,1,0,0,31,31,0.0,0.425,0.0005
Dreissena Polymorpha,1,0,0,29,29,0.0,0.4235,0.0005
Ensis Directus,1,0,0,37,37,0.0,0.4352,0.0005
Gemma Gemma,1,0,0,33,33,0.0,0.4297,0.0005
Geukensia Demissa,1,0,0,29,29,0.0,0.4235,0.0005
Ischadium Recurvum,1,0,0,30,30,0.0,0.4241,0.0005
Macoma Balthica,1,0,0,31,31,0.0,0.4263,0.0005
Macoma Tenta,1,0,0,30,30,0.0,0.425,0.0005
Macoma Phenax,1,0,0,30,30,0.0,0.425,0.0005
Macoma Mitchelli,1,0,0,30,30,0.0,0.425,0.0005
Mercenaria Mercenaria,1,0,0,30,30,0.0,0.4247,0.0005
Mulinia Lateralis,1,0,0,31,31,0.0,0.4257,0.0005
Mytilopsis Leucophaeata,1,0,0,29,29,0.0,0.4235,0.0005
Mytilus Edulis,1,0,0,35,35,0.0,0.4358,0.0005
Noetia Ponderosa,1,0,0,29,29,0.0,0.4235,0.0005
Nucula Proxima,1,0,0,33,33,0.0,0.4278,0.0005
Pandora Gouldiana,1,0,0,30,30,0.0,0.4247,0.0005
Petricola Pholadiformis,1,0,0,29,29,0.0,0.4235,0.0005
Solemya Velum,1,0,0,29,29,0.0,0.4235,0.0005
Spisula Solidissima,1,0,0,33,33,0.0,0.4348,0.0005
Tagelus Plebius,1,0,0,30,30,0.0,0.4244,0.0005
Tellina Agilis,1,0,0,31,31,0.0,0.426,0.0005
Chaetopterus Variopedatus,1,0,0,38,38,0.0,0.4269,0.0005
Clymenella Torquata,1,0,0,38,38,0.0,0.4257,0.0005
Eteone Lactea,1,0,0,37,37,0.0,0.425,0.0005
Eteone Heteropoda,1,0,0,39,39,0.0,0.426,0.0005
Eumida Sanguinea,1,0,0,37,37,0.0,0.425,0.0005
Glycera Dibranchiata,1,0,0,39,39,0.0,0.4275,0.0005
Glycinde Solitaria,1,0,0,38,38,0.0,0.4257,0.0005
Haploscoloplos Fragilis,1,0,0,37,37,0.0,0.425,0.0005
Heteromastus Filiformis,1,0,0,39,39,0.0,0.426,0.0005
Laeonereis Culveri,1,0,0,37,37,0.0,0.425,0.0005
Loimia Medusa,1,0,0,38,38,0.0,0.4257,0.0005
Lumbrineris Fragilis,1,0,0,38,38,0.0,0.4257,0.0005
Marenzelleria Viridis,1,0,0,38,38,0.0,0.4257,0.0005
Nephtys Incisa,1,0,0,38,38,0.0,0.4257,0.0005
